ARTICLE_ID,TITLE,SOLUTION,TAGS
S001,Troubleshooting Unprocessed Payments,"Troubleshooting Unprocessed Payments:  If your payment hasn't shown up, check your transaction history and wait up to 48 hours before contacting support.","payments, delays"
S002,How to Report Duplicate Charges,"How to Report Duplicate Charges:  If you've been charged twice, contact us with both transaction IDs. We typically refund one within 3-5 business days.","payments, refund, billing"
S003,Payment Failed But Money Deducted?,Payment Failed But Money Deducted?:  Sometimes payments fail due to timeout issues. The amount is usually refunded automatically within 7 business days.,"failed payments, deductions"
S004,Understanding Foreign Currency Charges,Understanding Foreign Currency Charges:  Currency conversion may cause minor differences in final charges. Check with your card issuer for exact rates and fees.,"currency, payments"
S005,Where is My Refund?,"Where is My Refund?:  Refunds typically take 5–10 business days. If it's been longer, contact support with your refund reference number.","refund, delay"
S006,Dealing with Card Declines,"Dealing with Card Declines:  Common reasons include bank restrictions, incorrect details, or fraud detection. Try another card or contact your bank.","card, payments"
S007,Adding and Managing Payment Methods,"Adding and Managing Payment Methods:  If a payment option is missing, ensure it's available in your region and linked to your account.",payment methods
S008,Managing Subscription Renewals,Managing Subscription Renewals:  Auto-renewal can be turned off from the subscription settings. We send reminder emails before renewal dates.,"subscription, billing"
S009,Rebooking to a Future Event,"Rebooking to a Future Event:  Open My Tickets → Rebook, pick any upcoming date of the same event that still has seats, and confirm. A new e‑ticket is emailed instantly. Rebooking is free up to 24 h before the original start time; afterward, standard change fees may apply.","rebooking, schedule, events"
S010,"Requesting More Event Dates or Locations, or increasing frequency of a certain genre","Requesting More Event Dates or Locations, or increasing frequency of a certain genre:  Click Suggest a Date on any sold‑out or past event page to vote for new cities/dates. We tally requests quarterly and notify you if new performances are added where you voted.
For any net new events you are interested to having us host, please send your requests to events@snowmusic.com and we are keen to hear your feedback","feedback, events, suggestions"
S011,Upgrading or Downgrading Your Seat,Upgrading or Downgrading Your Seat:  Go to My Tickets → Change Seat to view real‑time availability and price differences. Pay or receive credit instantly; a fresh e‑ticket is issued. Seat changes close once doors open.,"seating, upgrade, ticket options"
S013,Cancelling for Account Credit,Cancelling for Account Credit:  Cancel up to 48 h before the event via My Tickets → Cancel for full account credit (valid 12 months). Credits post instantly; cash refunds follow the standard refund timeline.,"cancellation, credit, refunds"
S015,Fixing “Invalid Recipient” Error During Transfer,"Fixing “Invalid Recipient” Error During Transfer:  If you see “Invalid Recipient”, double‑check that the email address is typed correctly, matches the recipient’s account region, and isn’t already linked to an existing ticket for the same event. Ask the recipient to create or log in to their account, then retry. Still stuck? Send us the ticket ID and the exact email you’re using so we can verify and unlock the transfer.","transfer error, invalid recipient, ticket transfer"
S016,What to Do When You Hit the “Transfer Limit Reached” Message,"What to Do When You Hit the “Transfer Limit Reached” Message:  Each ticket can be transferred once, and an account may transfer up to 10 tickets per event. If you’ve reached the cap, you’ll need support to reset your limit. Open Help → Transfers → Request Reset, include your order number, and we’ll review within 24 h.","transfer limit, ticket transfer, support"
S017,“Transfer Not Available for This Event”—Why and What You Can Do,“Transfer Not Available for This Event”—Why and What You Can Do:  Some events disable transfers due to artist policy or security rules. The banner appears at checkout and on the ticket details screen. Options: (1) use Guest List to add a companion name for door pickup; (2) cancel for account credit (if within the refund window); or (3) contact support with your order ID so we can explore exceptions.,"transfer restricted, event policy, ticket options"
S018,Finding Food & Water Stations on the Venue Map,"Finding Food & Water Stations on the Venue Map:  Inside the mobile app, open the event, tap Venue Map, and toggle Amenities. Icons for food courts, water refill stations, restrooms, and first‑aid points appear. Zoom and tap any icon for hours and menu info. Maps go live 48 h before doors open.","venue map, amenities, food, water"
S019,Got a General‑Admission Wristband Instead of Your VIP Seat,"Got a General‑Admission Wristband Instead of Your VIP Seat:  Head to the VIP/Box Office Help Desk immediately with your e‑ticket. Staff will scan your barcode, verify the purchase, and swap your wristband or upgrade your seat in the system. If VIP is oversold, you’ll receive a partial refund plus a complimentary drink voucher.","VIP issue, wristband, onsite help"
S020,Setting Up Event Alerts,"Setting Up Event Alerts:  Never miss updates—tap Follow Event (bell icon) or Alert Me on the event page. Choose push, SMS, or email notifications for on‑sale times, schedule changes, and set‑list drops. You can manage or mute alerts anytime under Account → Notifications.","alerts, notifications, event updates"
S021,Early‑Bird Price Didn’t Apply at Checkout,"Early‑Bird Price Didn’t Apply at Checkout:  Early‑bird discounts apply automatically until the timer on the event page hits 00:00. If you reached checkout after the timer expired, the regular price appears. Still within the window? Clear your cart, refresh the event page, and add the tickets again. If the lower price is still missing, send us a screenshot of the countdown plus your cart so we can adjust the charge.","early‑bird, pricing, discounts"
S022,How to Join Our Loyalty Program,"How to Join Our Loyalty Program:  Earn points for every purchase: tap Account → Loyalty (star icon) and hit Join Now. Confirm your email, pick a username, and you’re in—no fee. Points post instantly after each order and can be redeemed for merch or seat upgrades. You can check your balance and tier perks anytime under Account → Loyalty.","loyalty program, rewards, points"
S023,Mobile QR Code Won’t Load at Event Check‑In,"Mobile QR Code Won’t Load at Event Check‑In:  If the QR won’t display, switch to mobile data, raise screen brightness, and reopen the ticket from My Tickets → View Offline (loads a cached pass). Still blank? Add the ticket to Apple/Google Wallet and present that barcode. Gate scanners read wallet passes even without signal. If all else fails, visit the Door Help Desk with a photo ID.","QR code, check‑in, e‑ticket, offline"
S024,Event Calendar & Purchased Tickets Not Syncing in the App,"Event Calendar & Purchased Tickets Not Syncing in the App:  Tickets sync in real time once you log in. If a purchase or date is missing, pull to refresh on the Tickets tab, then check Settings → Calendars to confirm the app has permission to write to your device calendar. Still out of sync? Log out and back in, or update the app to the latest version—older builds can stall background sync.","syncing, calendar, tickets, mobile app"
